index,metadata,proba_jeunesse,proba_aventures,proba_policier,proba_autobio,proba_sentiment,prediction,accord
1950_Delly_Folie-de-sages,roman sentimental,0.1497371001946387,0.060776157291002546,0.014682640630977182,0.02033034944468685,0.754473752438695,roman sentimental,True
1965_De-Villiers-Gerard_SAS-contre-CIA,policier,0.02714062249185739,0.05591387131083196,0.8986010213490006,0.005023231061982712,0.013321253786327121,policier,True
1923_Delly_La-chatte-blanche,roman sentimental,0.06729357669398717,0.044812091282089725,0.013781556234426378,0.0034203404026139795,0.8706924353868823,roman sentimental,True
1971_Delbo-Charlotte_Auschwitz-et-apres_III--Mesure-de-nos-jours,mémoires et autobiographie,0.061930999632356515,0.012762794759108662,0.06348938848787077,0.8419638211977717,0.019852995922892216,mémoires et autobiographie,True
1951_Delly_Le-rubis-de-l'emir,roman sentimental,0.12276728498635338,0.0934488114454326,0.5123380422389224,0.01728040954928034,0.25416545178001165,policier,False
1951_Delly_Sous-l'œil-des-brahmes,roman sentimental,0.03294510893988227,0.31777285437777214,0.27103889104441614,0.005209034972664604,0.3730341106652649,roman d'aventures,False
1905_Delly_L'etincelle,roman sentimental,0.1560997742525378,0.12635494977857215,0.028632470856694247,0.02652687528504861,0.6623859298271473,roman sentimental,True
1899_Noir-Louis_Un-mariage-polaire,roman d'aventures,0.4840495349277698,0.21811357862577618,0.03644771654634247,0.2548070823157245,0.0065820875843868145,littérature jeunesse,False
1950_Delly_Aurore-de-Brusfeld,roman sentimental,0.2320791410459125,0.10330920356511383,0.05979475565335793,0.010505060074106742,0.594311839661509,littérature jeunesse,False
1898_Dondel-Du-Faouedic-Noemie_Voyages-loin-de-ma-chambre_tome-1,mémoires et autobiographie,0.12421760629195708,0.034980336635846467,0.0037379115671898953,0.8346278219468674,0.002436323558139358,mémoires et autobiographie,True
1935_Delly_Comme-un-conte-de-fees,roman sentimental,0.30436291841354207,0.13732738652360568,0.059576909758576914,0.01062273151762852,0.488110053786647,littérature jeunesse,False
1960_Delly_Le-sceau-de-Satan,roman sentimental,0.272005479374348,0.12077620102925528,0.12991973513480717,0.09115273677093916,0.38614584769065047,littérature jeunesse,False
1854_Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse,littérature jeunesse,0.8887064688756617,0.06642978973226044,0.0065957744745949,0.014751946444221606,0.023516020473261182,littérature jeunesse,True
1955_Delly_Salvatore-Falnerra,roman sentimental,0.20204493703229098,0.25860648515394286,0.15184456052497441,0.009839948680653169,0.37766406860813845,roman d'aventures,False
1956_Delly_La-maison-dans-la-foret,roman sentimental,0.4908092785084977,0.14577356513256862,0.13816638816232005,0.057090624449871806,0.1681601437467413,littérature jeunesse,False
1951_Delly_Les-solitaires-de-Myols,roman sentimental,0.0636998043172925,0.12899004308221537,0.022668143819577893,0.004220263216532755,0.7804217455643816,roman sentimental,True
1908_Delly_L'exilee,roman sentimental,0.17701547589897512,0.10063649023458984,0.025786821578999905,0.005673158832725848,0.6908880534547092,littérature jeunesse,False
1956_Delly_Annonciade,roman sentimental,0.12128839403032521,0.058575974321312965,0.021208123131895993,0.03941131548651794,0.7595161930299477,roman sentimental,True
1981_Delly_L'heritage-de-Cendrillon,roman sentimental,0.13727924513518686,0.0554806804577732,0.0400999441143809,0.0018079298700957157,0.7653322004225631,roman sentimental,True
1933_Delly_La-lune-d'or,roman d'aventures,0.06716576452478816,0.5371849092546245,0.26578262501877775,0.016105078014326372,0.1137616231874835,roman d'aventures,True
1952_Delly_Le-chant-de-la-misere,roman sentimental,0.231947932401093,0.03791694068993197,0.011327029830367598,0.09227720657254844,0.6265308905060588,littérature jeunesse,False
1913_Delly_Entre-deux-ames,roman sentimental,0.059169909623624714,0.09127836148571038,0.018199469181040387,0.0027458521672439197,0.8286064075423805,roman sentimental,True
1925_Delly_Les-ombres,roman sentimental,0.3119858011540701,0.05497695313040807,0.03446589880016907,0.2154069735640096,0.3831643733513437,littérature jeunesse,False
1910_Delly_Esclave-ou-reine,roman sentimental,0.43577715461238836,0.11239267424870743,0.09479368667523001,0.20080017537109257,0.15623630909258215,littérature jeunesse,False
1951_Delly_La-maison-des-belles-colonnes-L'accusatrice,roman sentimental,0.19223453233270574,0.13059130976137495,0.07971698772233964,0.013596771647648222,0.583860398535932,littérature jeunesse,False
1928_Montorgueil-Georges_La-Vie-extraordinaire-de-Robert-Macaire,roman d'aventures,0.18879315078961947,0.23707257509207255,0.1011255122301634,0.46471710474641564,0.00829165714172917,mémoires et autobiographie,False
1952_Delly_Le-roseau-brise,roman sentimental,0.19845797223460815,0.1324762905798249,0.08592339857263047,0.12785161532573014,0.45529072328720616,littérature jeunesse,False
2008_Nunez-Laurent_Les-recidivistes,mémoires et autobiographie,0.007442441208825543,0.003039940964807449,0.010173142484763163,0.954952071927632,0.02439240341397175,mémoires et autobiographie,True
1911_Marchal-Gustave_Tante-Meteore,littérature jeunesse,0.7534522091323311,0.06530132599960649,0.06340654196008128,0.0869676203232213,0.030872302584759835,littérature jeunesse,True
1891_Verlaine-Paul_Mes-hopitaux,mémoires et autobiographie,0.1098573379302148,0.04525310281812369,0.020977500564215615,0.8107848163855534,0.013127242301892468,mémoires et autobiographie,True
1903_Vogue-Eugene-Melchior-de_Le-Maitre-de-la-mer,roman d'aventures,0.026204964227278915,0.7969776296544271,0.03824991311033599,0.08091374531429808,0.05765374769365984,roman d'aventures,True
1843_Desnoyers-Louis_Les-aventures-de-Jean-Paul-Choppart,littérature jeunesse,0.4529019227396207,0.472920456075825,0.02400063937989315,0.04724623659879022,0.0029307452058709867,roman d'aventures,False
1950_Delly_L'enfant-mysterieuse,roman sentimental,0.1448679270967377,0.05302366452201577,0.06820480788919228,0.003622307624631412,0.7302812928674227,roman sentimental,True
2015_Riboulet-Mathieu_Entre-les-deux-il-n-y-a-rien,mémoires et autobiographie,0.004801132738676674,0.009542508090332465,0.009184049627125152,0.9745593020505269,0.0019130074933387201,mémoires et autobiographie,True
1940_Delly_Le-drame-de-l'étang-aux-biches,roman sentimental,0.13253353308955232,0.07782406947408858,0.05975843808335437,0.018646935117705574,0.7112370242352991,roman sentimental,True
1954_Delly_Aelys-aux-cheveux-d'or,roman sentimental,0.1972236161308215,0.1739325748331892,0.05284158255510356,0.028588734663828667,0.5474134918170571,littérature jeunesse,False
1916_Delly_La-fin-d'une-Walkyrie,roman sentimental,0.08634569632041666,0.053175905436797316,0.013645307586638183,0.0042254096350077056,0.8426076810211405,roman sentimental,True
1951_Delly_Reinette,roman sentimental,0.0697370388403177,0.03080751051173457,0.010900705283875215,0.007199229721788836,0.8813555156422838,roman sentimental,True
1900_Chabrier-Rieder-Charlotte_Les-epreuves-de-Charlotte,littérature jeunesse,0.8873245995624018,0.009996508864150919,0.004408133819266265,0.02649887186434595,0.07177188588983538,littérature jeunesse,True
1984_Delly_Des-plaintes-dans-la-nuit,roman sentimental,0.10616867129947326,0.2154317005537946,0.05747274843899978,0.0030292931223760435,0.6178975865853562,roman sentimental,True
